,own_llm_prompt
44,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **EVT** из приведенного текста.
    События, исторические моменты. Примеры: 'Brexit', 'брекзит'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа EVT
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
45,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PRO** из приведенного текста.
    Продукты, бренды, названия изданий. Примеры: 'Facebook', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PRO
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
46,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
48,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **LOC** из приведенного текста.
    Географические локации, города, страны. Примеры: 'Лондон', 'Великобритания', 'Брюссель'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа LOC
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
51,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
53,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
55,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Официальный представитель МИД России Мария Захарова прокомментировала в своем Facebook решение министра иностранных дел Великобритании Бориса Джонсона уйти в отставку. Захарова написала: Учитывая его лирический склад и любовь к русской литературе, вспомнились строки ""не вынесла душа поэта"", которые хочется завершить на слове ""позора"". Помните, мы говорили о том, что вся эта грязная многокомпонентная интрига плачевно закончится для правительства Т. Мэй?. По мнению Захаровой, в Британии все отчетливее проступают контуры правительственного кризиса, причем оставаться в этой дырявой шлюпке не захотел даже британский король политической эксцентрики. Напомним, Борис Джонсон стал третьим по счету министром в кабинете Мэй, покинувшим свой пост в знак протеста против условий Brexit.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
57,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **EVT** из приведенного текста.
    События, исторические моменты. Примеры: 'Brexit', 'брекзит'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа EVT
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
58,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PRO** из приведенного текста.
    Продукты, бренды, названия изданий. Примеры: 'Facebook', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PRO
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
59,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
62,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **LOC** из приведенного текста.
    Географические локации, города, страны. Примеры: 'Лондон', 'Великобритания', 'Брюссель'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа LOC
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
66,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
68,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
70,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **PER** из приведенного текста.
    Имена людей. Примеры: 'Тереза Мэй', 'Борис Джонсон', 'Мария Захарова'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа PER
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
71,"Ты - эксперт по извлечению именованных сущностей из текстов. 
    ЗАДАЧА: Извлеки все сущности типа **ORG** из приведенного текста.
    Организации, компании, учреждения. Примеры: 'ЕС', 'МИД России', 'The Guardian'

    ТРЕБОВАНИЯ:
    1. Найди без исключения ВСЕ упоминания сущностей типа ORG
    2. Сохрани их в той форме, в которой они встречаются в тексте
    3. Не изменяй написание и регистр
    4. Если сущностей нет - верни пустой список
    5. Не добавляй никаких комментариев или объяснений

    ТЕКСТ:
    Комментируя отставку министра иностранных дел Великобритании Бориса Джонсона, британские СМИ напоминают, что он был одним из самых ярких противников планов премьер-министра Великобритании Терезы Мэй, которая планировала мягкий выход из ЕС. Так, СМИ полагают, что отставка Джонсона, которая последовала сразу же за отставкой министра по выходу Великобритании из ЕС, повысит чувство кризиса в политической элите Великобритании. В дальнейшем это должно претвориться в отставку самой Терезы Мэй, уверено издание The Guardian. Издание называет такое развитие событий самым негативным последствием Brexit. Отметим, что перед отставкой Борис Джонсон уже не стеснялся и открыто критиковал Терезу Мэй, сообщают британские СМИ. Напомним, что до Джонсона поджал в отставку министр по выходу Великобритании из ЕС Дэвид Дэвис. Его отставка состоялась буквально накануне того, как Тереза Мэй должна была Палате общин, в ходе которого она должна представить только что одобренную кабинетом министров стратегию выхода страны из Евросоюза. Разногласия Мэй с Дэвисом и Джонсоном были принципиального характера. Мэй предложила мягкий вариант выхода, суть которого заключается в том, что создание создаются зоны свободной торговли с ЕС для промышленных и сельскохозяйственных товаров, а также сохраняются таможенные стандартов ЕС на границе с Великобританией. В то время как два ключевых министра, которые теперь в отставке, считают такую стратегию ослабляющей страну, она не позволит влиять на решения ЕС. Сам выход Великобритании из ЕС будет оформлен 29 марта.

    ФОРМАТ ОТВЕТА - ТОЛЬКО JSON без всяких дополнительных комментариев:
    {""entities"": [""сущность1"", ""сущность2"", ...]}"
